time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-07-07T03:24:00.164Z,63.3106,-151.0634,17.3,0.7,ml,,,,0.42,ak,ak0208omi1cf,2020-07-14T07:10:27.557Z,"Central Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-07-07T03:20:49.624Z,53.1137,-160.2844,10,2.9,ml,,235,1.769,0.69,us,us7000an7y,2020-07-15T03:03:10.040Z,"247 km S of Sand Point, Alaska",earthquake,5,2,0.105,12,reviewed,us,us
2020-07-07T03:14:00.240Z,40.746,-112.0776667,6.37,0.79,md,18,52,0.007493,0.12,uu,uu60400757,2020-07-07T15:54:20.200Z,"4 km NNE of Magna, Utah",earthquake,0.29,0.51,0.212,9,reviewed,uu,uu
2020-07-07T03:12:44.494Z,60.1648,-152.9659,116.8,1.3,ml,,,,0.35,ak,ak0208omfk69,2020-07-14T07:12:22.765Z,"72 km WNW of Happy Valley, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2020-07-07T03:11:28.650Z,34.1523333,-117.4613333,10.13,0.86,ml,29,63,0.04902,0.16,ci,ci39282415,2020-07-08T18:17:10.775Z,"6km N of Fontana, CA",earthquake,0.26,0.42,0.13,22,reviewed,ci,ci
2020-07-07T03:09:11.530Z,19.2105007171631,-155.379333496094,31.6200008392334,1.99000001,md,45,158,,0.109999999,hv,hv72033792,2020-07-07T03:12:24.470Z,"10 km E of P?hala, Hawaii",earthquake,0.65,0.819999993,0.239999995,13,automatic,hv,hv
2020-07-07T03:08:55.250Z,35.904,-117.4165,3.14,1.3,ml,26,69,0.1089,0.1,ci,ci39282399,2020-07-08T18:10:29.800Z,"15km N of Searles Valley, CA",earthquake,0.16,0.56,0.149,16,reviewed,ci,ci
2020-07-07T03:03:24.224Z,68.1215,-158.1177,0.4,1.3,ml,,,,0.46,ak,ak0208omdl5j,2020-07-14T07:10:25.179Z,"116 km N of Ambler, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-07-07T03:03:20.430Z,38.8378333,-122.7991667,2.62,0.13,md,14,69,0.006914,0.01,nc,nc73422806,2020-07-10T07:12:04.252Z,"7km WNW of Cobb, CA",earthquake,0.29,0.78,0.166,2,reviewed,nc,nc
2020-07-07T03:02:01.650Z,40.2971667,-123.3636667,32.95,2.94,md,58,41,0.1716,0.14,nc,nc73422801,2020-07-15T02:51:11.040Z,"32km SSW of Hayfork, CA",earthquake,0.26,0.56,0.182,55,reviewed,nc,nc
2020-07-07T03:01:33.050Z,38.1848,-117.8995,7.2,1.5,ml,14,121.16,0.028,0.05,nn,nn00757681,2020-07-07T03:40:47.345Z,"29 km SE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-07-07T02:59:56.820Z,38.154,-118.0092,5.1,1.4,ml,15,127.65,0.037,0.05,nn,nn00757679,2020-07-07T03:03:07.289Z,"27 km SSE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-07-07T02:59:18.636Z,59.9191,-150.7358,59.5,1.2,ml,,,,0.49,ak,ak0208om4587,2020-07-14T07:12:21.645Z,"14 km ENE of Fox River, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-07-07T02:58:32.640Z,53.8588333,-166.7628333,7.54,0.42,ml,6,102,0.05015,0.16,av,av70905954,2020-07-07T18:37:52.390Z,"14 km WSW of Dutch Harbor, Alaska",earthquake,0.46,1.01,0.18,6,reviewed,av,av
2020-07-07T02:58:02.800Z,53.8603333,-166.7625,6.83,0.35,ml,5,103,0.05084,0.07,av,av62193096,2020-07-07T18:34:18.290Z,"14 km WSW of Dutch Harbor, Alaska",earthquake,0.33,0.75,0.323,6,reviewed,av,av
2020-07-07T02:58:01.882Z,24.2362,143.7944,10,4.7,mb,,120,3.196,0.54,us,us7000andl,2020-07-15T02:47:49.040Z,"Volcano Islands, Japan region",earthquake,10.7,1.9,0.134,17,reviewed,us,us
2020-07-07T02:49:03.260Z,35.8966667,-117.7065,4.08,1.19,ml,27,48,0.06847,0.08,ci,ci39282383,2020-07-08T18:06:26.610Z,"19km ESE of Little Lake, CA",earthquake,0.1,0.26,0.133,14,reviewed,ci,ci
2020-07-07T02:48:15.250Z,38.1562,-117.9982,6.9,1.1,ml,13,138.33,0.033,0.06,nn,nn00757677,2020-07-07T03:01:26.953Z,"27 km SSE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-07-07T02:45:33.367Z,53.32,-165.5861,24.9,2,ml,,,,0.2,ak,ak0208om16m6,2020-07-14T07:10:24.027Z,"88 km SE of Unalaska, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2020-07-07T02:34:01.690Z,33.3456667,-116.3713333,11.36,3.15,ml,140,15,0.01921,0.22,ci,ci39282359,2020-07-08T04:44:05.064Z,"10km N of Borrego Springs, CA",earthquake,0.12,0.29,0.16,229,reviewed,ci,ci
2020-07-07T02:32:37.138Z,63.3954,-151.113,4,0.5,ml,,,,0.32,ak,ak0208olycub,2020-07-14T07:10:22.773Z,"Central Alaska",earthquake,,2.4,,,reviewed,ak,ak
2020-07-07T02:29:23.050Z,36.5608333,-121.1555,7.12,1.83,md,20,93,0.0264,0.07,nc,nc73422791,2020-07-07T21:42:03.636Z,"3km NNW of Pinnacles, CA",earthquake,0.31,0.26,0.214,15,reviewed,nc,nc
2020-07-07T02:27:41.280Z,19.1889991760254,-155.464004516602,35.4700012207031,1.74000001,md,35,198,,0.100000001,hv,hv72033757,2020-07-07T02:30:53.730Z,"2 km SE of P?hala, Hawaii",earthquake,0.74,0.829999983,0.579999983,3,automatic,hv,hv
2020-07-07T02:25:29.980Z,39.414,-110.2918333,-3.48,2.56,ml,20,104,0.02767,0.2,uu,uu60400752,2020-07-15T02:22:04.040Z,"17 km SSE of Sunnyside, Utah",earthquake,0.57,1.89,0.17,15,reviewed,uu,uu
2020-07-07T02:21:06.380Z,18.0163,-66.7015,12,2.64,md,22,115,0.0989,0.22,pr,pr2020189010,2020-07-17T16:01:32.690Z,"2 km NNE of Tallaboa, Puerto Rico",earthquake,0.4,0.28,0.39,14,reviewed,pr,pr
2020-07-07T02:19:14.610Z,19.1951675415039,-155.468338012695,34.189998626709,2.07,ml,44,102,,0.100000001,hv,hv72033742,2020-07-07T02:24:46.670Z,"1 km SE of P?hala, Hawaii",earthquake,0.55,0.709999979,4.42,7,automatic,hv,hv
2020-07-07T02:17:51.580Z,35.8696667,-117.6803333,6.97,0.78,ml,16,84,0.08177,0.08,ci,ci39282351,2020-07-08T17:31:29.015Z,"22km ESE of Little Lake, CA",earthquake,0.14,0.32,0.126,10,reviewed,ci,ci
2020-07-07T02:15:55.576Z,38.1486,-117.9487,12,1.2,ml,20,93.04,0.013,0.1201,nn,nn00757675,2020-07-08T02:19:12.612Z,"30 km SSE of Mina, Nevada",earthquake,,0.7,0.15,8,reviewed,nn,nn
2020-07-07T02:13:57.500Z,44.1523333,-115.0983333,5.09,2.38,ml,13,77,0.247,0.15,mb,mb80447254,2020-07-07T23:12:49.270Z,"14 km WSW of Stanley, Idaho",earthquake,0.41,1.04,0.21,12,reviewed,mb,mb
2020-07-07T02:11:11.370Z,65.054,-146.806,11.1,1.6,ml,,,,0.56,ak,ak0208oltubh,2020-07-14T07:10:21.561Z,"19 km N of Pleasant Valley, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-07-07T02:10:31.740Z,38.1925,-117.7737,0,1.5,ml,10,136.79,0.046,0.17,nn,nn00757673,2020-07-07T02:17:01.780Z,"36 km SE of Mina, Nevada",earthquake,,14.8,,,automatic,nn,nn
2020-07-07T02:10:27.940Z,44.1526,-115.1005,10,2.9,ml,,76,0.245,0.54,us,us7000aj7y,2020-07-07T21:54:25.040Z,"14 km WSW of Stanley, Idaho",earthquake,1.6,2,0.042,76,reviewed,us,us
2020-07-07T02:08:51.600Z,38.1702,-118.0147,0.8,0.9,ml,10,95,0.03,0.06,nn,nn00757671,2020-07-07T02:16:53.963Z,"25 km SSE of Mina, Nevada",earthquake,,9.4,,,automatic,nn,nn
2020-07-07T02:04:14.270Z,39.4088333,-110.3061667,-1.89,1.57,md,6,198,0.02116,0.12,uu,uu60400742,2020-07-07T14:40:11.328Z,"17 km SSE of Sunnyside, Utah",earthquake,1.04,0.88,0.274,6,reviewed,uu,uu
2020-07-07T01:55:49.790Z,38.8073349,-122.8263321,1.68,0.56,md,7,120,0.0027,0.02,nc,nc73422786,2020-07-07T02:16:04.402Z,"7km WNW of The Geysers, CA",earthquake,0.43,1.06,,1,automatic,nc,nc
2020-07-07T01:55:31.902Z,66.3313,-157.2542,7.4,1.1,ml,,,,0.28,ak,ak0208olhvt8,2020-07-14T07:10:20.360Z,"62 km S of Shungnak, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-07-07T01:54:29.255Z,60.3171,-141.2543,9.9,1.3,ml,,,,0.66,ak,ak0208olhntp,2020-07-14T07:10:19.092Z,"Southern Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-07-07T01:51:46.190Z,38.840168,-122.824501,1.73,1.14,md,24,90,0.008723,0.03,nc,nc73422781,2020-07-07T04:20:33.164Z,"9km WNW of Cobb, CA",earthquake,0.19,0.43,0.08,6,automatic,nc,nc
2020-07-07T01:50:04.370Z,38.1918,-117.8428,20.3,1.3,ml,11,111.65,0.058,0.05,nn,nn00757668,2020-07-07T01:57:45.852Z,"32 km SE of Mina, Nevada",earthquake,,1.7,,,automatic,nn,nn
2020-07-07T01:43:03.050Z,17.9443,-66.9615,6,2.64,md,21,205,0.0865,0.17,pr,pr2020189018,2020-07-18T09:42:33.466Z,"6 km WSW of Guánica, Puerto Rico",earthquake,0.48,0.27,0.15,16,reviewed,pr,pr
2020-07-07T01:42:29.091Z,60.3334,-141.2563,7.9,1.3,ml,,,,0.38,ak,ak0208olf3a0,2020-07-14T07:10:17.930Z,"Southern Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-07-07T01:34:18.679Z,14.5268,-93.0025,35,4.1,mb,,179,2.5,0.75,us,us7000andt,2020-07-15T02:11:38.040Z,"66 km WSW of Puerto Madero, Mexico",earthquake,8.9,2,0.097,29,reviewed,us,us
2020-07-07T01:34:08.360Z,19.2199993133545,-155.386993408203,32.2000007629395,2.06,ml,50,156,,0.100000001,hv,hv72033692,2020-07-07T01:39:42.870Z,"9 km E of P?hala, Hawaii",earthquake,0.6,0.660000026,3.14,8,automatic,hv,hv
2020-07-07T01:31:48.820Z,33.7076667,-116.7476667,15.48,0.85,ml,38,27,0.02814,0.19,ci,ci39282311,2020-07-07T13:23:20.460Z,"4km SW of Idyllwild, CA",earthquake,0.28,0.45,0.127,25,reviewed,ci,ci
2020-07-07T01:31:13.124Z,38.1556,-117.9561,9.9,2.2,ml,27,48.73,0.017,0.131,nn,nn00757664,2020-07-08T02:19:10.941Z,"29 km SSE of Mina, Nevada",earthquake,,0.6,0.52,12,reviewed,nn,nn
2020-07-07T01:30:23.090Z,38.1508,-118.0012,1,1.3,ml,12,139.56,0.029,0.06,nn,nn00757662,2020-07-07T01:38:06.005Z,"28 km SSE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-07-07T01:30:07.540Z,35.6383333,-117.3963333,2.59,0.58,ml,4,183,0.07453,0.03,ci,ci37287644,2020-07-07T23:34:24.909Z,"14km S of Trona, CA",earthquake,0.75,0.68,0.051,1,reviewed,ci,ci
2020-07-07T01:29:55.970Z,36.453,-118.002,6.77,1.26,ml,8,159,0.06437,0.12,ci,ci39282319,2020-07-07T23:31:37.965Z,"16km SSE of Lone Pine, CA",earthquake,0.53,1.02,0.355,5,reviewed,ci,ci
2020-07-07T01:23:54.010Z,19.0218,-67.7066,32,3.39,md,19,228,0.6767,0.42,pr,pr2020189006,2020-07-07T21:46:28.040Z,"86 km NW of San Antonio, Puerto Rico",earthquake,2.16,12,0.06,11,reviewed,pr,pr
2020-07-07T01:23:32.810Z,38.0143,-118.8017,7,1.4,ml,10,118.79,0.34,0.04,nn,nn00757661,2020-07-07T01:31:25.431Z,"28 km ENE of Lee Vining, California",earthquake,,9,,,automatic,nn,nn
2020-07-07T01:21:53.240Z,38.1152,-117.782,17.8,1.3,ml,14,95.69,0.045,0.08,nn,nn00757659,2020-07-07T01:25:05.875Z,"41 km SE of Mina, Nevada",earthquake,,2.6,,,automatic,nn,nn
2020-07-07T01:21:34.740Z,44.4693333,-110.5368333,3.75,1.45,ml,11,102,0.04887,0.07,uu,uu60400732,2020-07-07T13:48:35.000Z,"49 km ESE of West Yellowstone, Montana",earthquake,0.3,0.89,0.254,3,reviewed,uu,uu
2020-07-07T01:20:54.778Z,12.1983,140.2649,10,4.7,mb,,68,4.696,0.43,us,us7000aj71,2020-07-15T01:27:26.040Z,"270 km N of Fais, Micronesia",earthquake,12.2,1.9,0.059,88,reviewed,us,us
2020-07-07T01:18:28.216Z,66.3224,-157.2432,6.1,1.1,ml,,,,0.61,ak,ak0208ol9y03,2020-07-14T07:10:16.680Z,"63 km S of Shungnak, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-07-07T01:17:44.820Z,36.024,-97.36416667,4.52,0.89,ml,23,97,0.1385728073,0.24,ok,ok2020nfpd,2020-07-08T13:37:46.687Z,"5 km SE of Mulhall, Oklahoma",earthquake,,1.1,0.22,9,reviewed,ok,ok
2020-07-07T01:17:07.200Z,33.5988333,-116.8048333,5.51,0.2,ml,16,82,0.03438,0.1,ci,ci39282295,2020-07-08T17:28:53.746Z,"13km WNW of Anza, CA",earthquake,0.25,0.44,0.218,8,reviewed,ci,ci
2020-07-07T01:11:49.840Z,53.868,-166.7798333,8.28,0.46,ml,6,114,0.05776,0.13,av,av62193071,2020-07-07T18:32:16.480Z,"15 km W of Dutch Harbor, Alaska",earthquake,0.41,0.84,0.326,6,reviewed,av,av
2020-07-07T01:10:55.093Z,52.0523,-176.0753,5.5,0.5,ml,,,,0.55,ak,ak0208ol8a4m,2020-07-14T07:10:15.538Z,"43 km ENE of Adak, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2020-07-07T01:10:34.774Z,25.8544,58.3003,14.89,4.9,mb,,97,2.1,1.18,us,us7000aj6s,2020-07-15T01:19:09.040Z,"155 km WSW of Fann?j, Iran",earthquake,8.9,4.6,0.047,144,reviewed,us,us
2020-07-07T01:05:58.963Z,37.5243,-117.4412,7.3,3.2,ml,39,61.46,0.266,0.1364,nn,nn00757652,2020-07-08T02:19:08.155Z,"27 km SW of Goldfield, Nevada",earthquake,,0.9,0.36,21,reviewed,nn,nn
2020-07-07T01:02:39.080Z,33.5891667,-116.801,7.49,0.54,ml,20,73,0.03113,0.08,ci,ci39282271,2020-07-08T17:27:03.340Z,"12km WNW of Anza, CA",earthquake,0.19,0.34,0.114,13,reviewed,ci,ci
2020-07-07T01:01:33.188Z,10.1549,126.3443,35,4.5,mb,,109,27.775,0.75,us,us7000andk,2020-07-15T00:55:56.040Z,"36 km ENE of Santa Monica, Philippines",earthquake,15.8,2,0.124,19,reviewed,us,us
2020-07-07T00:56:27.084Z,60.2029,-153.0099,122.1,1.8,ml,,,,0.41,ak,ak0208okwngp,2020-07-14T07:10:14.179Z,"72 km E of Port Alsworth, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-07-07T00:51:46.517Z,63.8436,-147.6309,76.1,0.9,ml,,,,0.46,ak,ak0208okvmgo,2020-07-14T07:10:12.906Z,"64 km E of McKinley Park, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-07-07T00:45:15.710Z,33.0391667,-115.5826667,7.62,1.61,ml,33,40,0.001105,0.29,ci,ci39282263,2020-07-07T18:36:42.260Z,"4km E of Westmorland, CA",earthquake,0.33,0.64,0.153,40,reviewed,ci,ci
2020-07-07T00:43:19.229Z,38.1556,-118.0214,1.8,1.1,ml,17,102.92,0.025,0.167,nn,nn00757648,2020-07-08T17:03:19.745Z,"27 km SSE of Mina, Nevada",earthquake,,0.7,0.48,6,reviewed,nn,nn
2020-07-07T00:43:05.980Z,33.0445,-115.5886667,5.16,1.43,ml,29,41,0.008422,0.19,ci,ci39282255,2020-07-07T04:11:44.723Z,"3km ENE of Westmorland, CA",earthquake,0.21,0.36,0.186,29,reviewed,ci,ci
2020-07-07T00:39:25.384Z,61.261,-149.8834,37.2,1,ml,,,,0.63,ak,ak0208okszg0,2020-07-14T07:10:11.665Z,"4 km N of Anchorage, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-07-07T00:35:22.740Z,33.0413333,-115.5853333,5.18,1.9,ml,35,40,0.004203,0.24,ci,ci39282247,2020-07-07T04:21:16.380Z,"3km E of Westmorland, CA",earthquake,0.24,0.44,0.174,60,reviewed,ci,ci
2020-07-07T00:34:18.380Z,38.8133316,-122.8218307,2.86,0.32,md,16,55,0.007267,0.02,nc,nc73422746,2020-07-07T01:03:05.961Z,"7km NW of The Geysers, CA",earthquake,0.29,0.6,0.24,2,automatic,nc,nc
2020-07-07T00:33:16.010Z,58.2667,-154.9238,4.7,0.1,ml,,,,0.29,ak,ak0208okrp3x,2020-07-14T07:10:10.560Z,"82 km NNW of Karluk, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2020-07-07T00:32:20.799Z,38.1698,-117.8921,7.3,1.4,ml,18,101.32,0.018,0.0898,nn,nn00757646,2020-07-08T02:18:57.446Z,"30 km SE of Mina, Nevada",earthquake,,0.7,0.13,7,reviewed,nn,nn
2020-07-07T00:32:05.325Z,58.2917,-154.9539,0.5,0.9,ml,,,,0.5,ak,ak0208okrgol,2020-07-14T07:10:09.305Z,"Alaska Peninsula",earthquake,,0.1,,,reviewed,ak,ak
2020-07-07T00:28:52.077Z,38.1491,-117.9033,8.3,0.7,ml,21,92.39,0.026,0.1685,nn,nn00757644,2020-07-08T16:38:42.344Z,"32 km SE of Mina, Nevada",earthquake,,0.7,0.1,7,reviewed,nn,nn
2020-07-07T00:27:39.810Z,53.8638333,-166.7558333,7.93,0.21,ml,6,108,0.04577,0.09,av,av62193056,2020-07-07T18:29:44.470Z,"14 km WSW of Dutch Harbor, Alaska",earthquake,0.34,0.63,0.253,6,reviewed,av,av
2020-07-07T00:27:36.170Z,38.7905006,-122.8068314,3.31,0.32,md,14,111,0.003655,0.03,nc,nc73422736,2020-07-07T00:42:03.829Z,"5km WNW of The Geysers, CA",earthquake,0.49,0.87,0.25,2,automatic,nc,nc
2020-07-07T00:27:07.100Z,41.8781667,-112.593,0.29,1.42,ml,15,136,0.1679,0.16,uu,uu60400722,2020-07-07T14:16:49.630Z,"13 km SE of Snowville, Utah",earthquake,0.53,31.61,0.075,3,reviewed,uu,uu
2020-07-07T00:22:33.080Z,17.9445,-66.955,8,2.64,md,17,205,0.0817,0.3,pr,pr2020189009,2020-07-17T16:00:27.634Z,"5 km WSW of Guánica, Puerto Rico",earthquake,0.74,1.57,0.25,3,reviewed,pr,pr
2020-07-07T00:19:27.140Z,53.3236667,-167.9963333,23.08,-0.18,ml,5,219,0.06564,0.22,av,av62193051,2020-07-08T21:31:03.520Z,"72 km NE of Nikolski, Alaska",earthquake,3.25,1.75,0.573,5,reviewed,av,av
2020-07-07T00:18:58.579Z,54.5255,-162.3848,22.3,1.7,ml,,,,0.48,ak,ak0208okokqp,2020-07-14T07:12:20.499Z,"59 km S of King Cove, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-07-07T00:18:08.220Z,35.6813333,-117.5446667,9.67,1.24,ml,26,74,0.1007,0.14,ci,ci39282239,2020-07-09T21:56:16.267Z,"14km ENE of Ridgecrest, CA",earthquake,0.18,0.5,0.221,13,reviewed,ci,ci
2020-07-07T00:16:04.759Z,37.5272,-117.4365,7.2,1,ml,18,94.37,0.267,0.1719,nn,nn00757642,2020-07-08T02:18:55.503Z,"26 km SW of Goldfield, Nevada",earthquake,,1.6,0.17,7,reviewed,nn,nn
2020-07-07T00:14:34.012Z,51.7636,-173.1392,14.1,1.6,ml,,,,0.43,ak,ak0208oknnzd,2020-07-14T07:12:19.199Z,"87 km SE of Atka, Alaska",earthquake,,3,,,reviewed,ak,ak
2020-07-07T00:13:01.460Z,60.3336,-152.657,102.6,1.4,ml,,,,0.36,ak,ak0208okndwn,2020-07-14T07:10:08.028Z,"63 km WNW of Ninilchik, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2020-07-07T00:11:49.254Z,38.1861,-117.892,4.6,1,ml,15,120.27,0.029,0.1257,nn,nn00757641,2020-07-07T00:50:09.880Z,"29 km SE of Mina, Nevada",earthquake,,1.2,0.14,7,reviewed,nn,nn
2020-07-07T00:11:43.958Z,37.5303,-117.4406,5.8,0.5,ml,5,221.71,0.271,0.0641,nn,nn00757650,2020-07-08T02:18:59.235Z,"26 km SW of Goldfield, Nevada",earthquake,,4.9,0.1,2,reviewed,nn,nn
2020-07-07T00:09:32.192Z,63.4893,-151.1987,1.5,1.2,ml,,,,0.56,ak,ak0208okmla6,2020-07-14T07:10:06.706Z,"26 km ESE of Denali National Park, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-07-07T00:07:29.424Z,68.1065,-137.0182,10.9,1.7,ml,,,,0.44,ak,ak0208okm5kt,2020-07-14T07:10:05.531Z,"116 km NW of Fort McPherson, Canada",earthquake,,0.2,,,reviewed,ak,ak
2020-07-07T00:01:30.071Z,37.7226,-116.0156,9.9,1.4,ml,17,147.64,0.227,0.1942,nn,nn00757638,2020-07-07T23:19:05.828Z,"25 km WNW of Rachel, Nevada",earthquake,,4.6,0.3,7,reviewed,nn,nn
2020-07-06T23:58:22.700Z,58.1861667,-155.3113333,2.02,-0.32,ml,6,155,0.0255,0.08,av,av70906339,2020-07-08T19:10:57.160Z,"85 km NW of Karluk, Alaska",earthquake,0.29,0.57,0.22,7,reviewed,av,av
2020-07-06T23:55:43.160Z,58.2636667,-154.9088333,4.66,-0.33,ml,5,188,0.08788,0.18,av,av70906334,2020-07-08T19:08:55.670Z,"81 km NNW of Karluk, Alaska",earthquake,1.03,1.95,0.409,5,reviewed,av,av
2020-07-06T23:54:34.923Z,62.9708,-149.6707,76.4,0.9,ml,,,,0.41,ak,ak0208nb1v6t,2020-07-18T03:09:26.517Z,"59 km SW of Cantwell, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2020-07-06T23:51:26.057Z,51.6859,-177.5363,72.9,2.5,ml,,,,0.34,ak,ak0208nb17b0,2020-07-18T03:09:25.669Z,"65 km WSW of Adak, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-07-06T23:45:10.170Z,60.0616,-152.7115,90.4,1.4,ml,,,,0.45,ak,ak0208nazvpw,2020-07-18T03:09:24.664Z,"56 km WNW of Happy Valley, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2020-07-06T23:42:15.270Z,38.1823,-117.8935,5.8,1.6,ml,12,112.53,0.153,0.06,nn,nn00757635,2020-07-07T00:02:48.488Z,"29 km SE of Mina, Nevada",earthquake,,9.8,,,automatic,nn,nn
2020-07-06T23:39:32.420Z,58.2886667,-154.9753333,2.37,-0.36,ml,7,217,0.04703,0.07,av,av70906324,2020-07-08T19:03:52.890Z,"85 km NNW of Karluk, Alaska",earthquake,0.95,0.59,0.335,8,reviewed,av,av
2020-07-06T23:37:36.130Z,34.062,-116.741,3.82,1.1,ml,40,53,0.06158,0.16,ci,ci39282215,2020-07-09T21:14:05.530Z,"15km W of Morongo Valley, CA",earthquake,0.18,0.39,0.107,31,reviewed,ci,ci
2020-07-06T23:29:52.140Z,35.7966667,-117.6191667,7.03,1.61,ml,29,68,0.02593,0.14,ci,ci39282207,2020-07-09T21:04:50.246Z,"20km W of Searles Valley, CA",earthquake,0.17,0.31,0.098,24,reviewed,ci,ci
2020-07-06T23:26:38.000Z,35.0335,-117.6846667,-0.82,1.5,ml,27,57,0.09934,0.23,ci,ci39282191,2020-07-09T20:57:30.863Z,"5km NW of Boron, CA",quarry blast,0.47,31.61,0.096,16,reviewed,ci,ci
2020-07-06T23:26:23.900Z,38.2133,-117.8863,5.2,1.5,ml,15,86.62,0.039,0.11,nn,nn00757633,2020-07-06T23:43:30.360Z,"27 km SE of Mina, Nevada",earthquake,,1.5,,,automatic,nn,nn
2020-07-06T23:16:03.150Z,52.7171,-168.1023,41.6,3.3,ml,,,,0.46,ak,ak0208nat92r,2020-07-18T03:09:23.799Z,"57 km ESE of Nikolski, Alaska",earthquake,,3.4,,,reviewed,ak,ak
2020-07-06T23:11:16.930Z,19.489,-155.722,8.45,1.55,md,40,139,,0.12,hv,hv72033547,2020-07-14T02:31:11.750Z,"15 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.44,0.27,0.160670250118348,18,reviewed,hv,hv
2020-07-06T23:09:14.310Z,19.2013339996338,-155.462326049805,34.9700012207031,1.85000002,md,38,193,,0.100000001,hv,hv72033542,2020-07-06T23:12:22.060Z,"1 km E of P?hala, Hawaii",earthquake,0.84,0.930000007,0.920000017,3,automatic,hv,hv
2020-07-06T23:07:54.730Z,38.1662,-117.8258,10.3,1.4,ml,17,71.34,0.013,0.09,nn,nn00757622,2020-07-06T23:13:31.437Z,"35 km SE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-07-06T23:04:24.425Z,64.965,-147.3429,0,1.4,ml,,,,0.63,ak,ak0208nar4dz,2020-07-18T03:09:22.870Z,"13 km E of Fox, Alaska",explosion,,0,,,reviewed,ak,ak
2020-07-06T22:59:19.260Z,38.833,-122.8183333,1.75,0.27,md,14,56,0.01156,0.02,nc,nc73422706,2020-07-09T22:31:04.997Z,"8km NW of The Geysers, CA",earthquake,0.3,0.95,,1,reviewed,nc,nc
2020-07-06T22:55:09.200Z,36.7478333,-121.4556667,7.02,2.88,ml,84,51,0.01753,0.18,nc,nc73422696,2020-07-09T23:42:02.303Z,"11km SW of Ridgemark, CA",earthquake,0.18,0.4,0.16,51,reviewed,nc,nc
2020-07-06T22:54:47.897Z,-5.5956,110.6952,538.73,6.7,mww,,14,1.466,1.29,us,us7000aj3w,2020-07-13T02:05:52.482Z,"98 km N of Batang, Indonesia",earthquake,7.3,3,0.052,36,reviewed,us,us
2020-07-06T22:54:47.327Z,35.6505,40.5391,10,4.3,mb,,63,3.085,0.84,us,us7000aj3v,2020-07-13T01:10:26.040Z,"50 km NE of Deir ez-Zor, Syria",earthquake,6.5,1.9,0.086,38,reviewed,us,us
2020-07-06T22:49:28.060Z,38.1897,-117.8807,8.9,1.4,ml,10,82.96,0.034,0.13,nn,nn00757617,2020-07-06T22:57:09.266Z,"29 km SE of Mina, Nevada",earthquake,,1.2,,,automatic,nn,nn
2020-07-06T22:46:16.040Z,17.9386,-66.9301,11,2.01,md,20,206,0.0626,0.26,pr,pr2020188023,2020-07-17T19:11:30.553Z,"4 km SSW of Guánica, Puerto Rico",earthquake,0.61,0.53,0,1,reviewed,pr,pr
2020-07-06T22:45:19.960Z,36.30266667,-97.279,7.64,1.63,ml,46,47,0.02339540902,0.25,ok,ok2020nfkc,2020-07-07T14:02:45.274Z,"1 km NNE of Perry, Oklahoma",earthquake,,0.5,0.19,9,reviewed,ok,ok
2020-07-06T22:40:04.760Z,35.9718333,-117.5368333,2.27,0.03,ml,6,223,0.0638,0.14,ci,ci39282143,2020-07-08T20:39:57.359Z,"26km NNW of Searles Valley, CA",earthquake,0.74,0.39,0.032,2,reviewed,ci,ci
2020-07-06T22:39:10.220Z,53.854,-166.7502,6,1.4,ml,,,,0.55,ak,ak0208nad5y1,2020-07-18T03:09:22.071Z,"14 km W of Unalaska, Alaska",earthquake,,0.2,,,reviewed,ak,ak
